sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Shroom4_ENSMUST00000089520_6577026_6577008	ENSMUST00000089520_Shroom4	901	2951	3088	3036	2592	2976	3271
Ribc1_ENSMUST00000026288_152016449_152016467	ENSMUST00000026288_Ribc1	196	616	685	450	445	516	600
Stk26_ENSMUST00000114887_50841385_50841367	ENSMUST00000114887_Stk26	245	1004	1103	838	750	737	941
Rs1_ENSMUST00000112368_160768052_160768070	ENSMUST00000112368_Rs1	473	1645	1420	1208	1210	1667	1765
Apex2_ENSMUST00000112727_150588416_150588434	ENSMUST00000112727_Apex2	192	560	605	622	551	647	586
Slc6a14_ENSMUST00000033414_21714741_21714759	ENSMUST00000033414_Slc6a14	404	1264	1341	1107	980	1292	1421
Araf_ENSMUST00000128250_20857682_20857664	ENSMUST00000128250_Araf	211	666	721	969	693	845	711
Las1l_ENSMUST00000147994_95951443_95951425	ENSMUST00000147994_Las1l	71	245	225	126	152	224	233
Asb11_ENSMUST00000033755_164437815_164437833	ENSMUST00000033755_Asb11	166	578	694	619	563	509	606
Gm15262_ENSMUST00000208920_161298321_161298339	ENSMUST00000208920_Gm15262	517	1978	1793	1910	1683	1888	2194
Slc25a53_ENSMUST00000125747_137038090_137038072	ENSMUST00000125747_Slc25a53	189	618	594	778	558	650	761
Flna_ENSMUST00000133609_74228177_74228159	ENSMUST00000133609_Flna	420	1263	1287	1525	1177	1334	1502
Bex2_ENSMUST00000049130_136068493_136068511	ENSMUST00000049130_Bex2	176	543	624	576	522	587	675
Usp9x_ENSMUST00000124097_13128833_13128815	ENSMUST00000124097_Usp9x	575	1674	1686	1788	1458	1512	1575
Flna_ENSMUST00000150554_74228796_74228814	ENSMUST00000150554_Flna	314	879	907	1305	1067	993	958
5530601H04Rik_ENSMUST00000154334_105070232_105070214	ENSMUST00000154334_5530601H04Rik	207	669	682	746	599	679	680
Ebp_ENSMUST00000143223_8193420_8193402	ENSMUST00000143223_Ebp	487	1181	1500	1628	1238	1347	1652
2210013O21Rik_ENSMUST00000208235_153725722_153725704	ENSMUST00000208235_2210013O21Rik	653	1787	2068	1457	1514	1937	2288
Xpnpep2_ENSMUST00000077775_48108596_48108614	ENSMUST00000077775_Xpnpep2	872	2479	2502	2807	2476	2604	2889
Pdzd4_ENSMUST00000002080_73825293_73825311	ENSMUST00000002080_Pdzd4	142	419	475	525	522	372	516
Stag2_ENSMUST00000069619_42150373_42150391	ENSMUST00000069619_Stag2	308	973	961	1172	893	1012	957
Mid2_ENSMUST00000128809_140664597_140664615	ENSMUST00000128809_Mid2	125	382	408	406	432	369	348
Med12_ENSMUST00000137664_101296395_101296377	ENSMUST00000137664_Med12	76	181	208	288	204	245	221
Gm14681_ENSMUST00000118047_66778982_66779000	ENSMUST00000118047_Gm14681	131	451	488	521	449	525	526
Gm14921_ENSMUST00000118643_112661606_112661624	ENSMUST00000118643_Gm14921	279	868	956	913	812	914	1161
5730416F02Rik_ENSMUST00000120648_109001295_109001277	ENSMUST00000120648_5730416F02Rik	47	100	168	144	144	197	193
4930502E18Rik_ENSMUST00000069209_53724612_53724630	ENSMUST00000069209_4930502E18Rik	400	1274	1547	1285	1350	1443	1622
