sgRNA	Gene	R1_Bottom	R1_Top	R1_Unsorted	R2_Bottom	R2_Top	R2_Unsorted	R3_Bottom	R3_Top	R3_Unsorted
Klhl4_ENSMUST00000133447_114474187_114474205	ENSMUST00000133447_Klhl4	375.98967518516554	424.2090490779659	355.20890219421995	511.57416055387034	560.7890112459932	515.684915821455	418.05907778431384	512.5297965427558	445.7284341020083
Klhl4_ENSMUST00000133447_114474148_114474166	ENSMUST00000133447_Klhl4	781.1509631002147	911.4899471795143	878.8274746385606	817.8599777095137	887.6810982034566	952.614603912855	1042.766948004154	1091.867951778828	942.8529898300932
Gpkow_ENSMUST00000049896_7697098_7697116	ENSMUST00000049896_Gpkow	987.5131124116131	846.3835223809775	847.8555812592281	862.8697214492319	743.0219562740044	712.0335657785779	902.7790563542815	852.5544281012766	879.0509078115155
Gpkow_ENSMUST00000049896_7697083_7697101	ENSMUST00000049896_Gpkow	424.60902973497144	395.7249882286061	408.4418439399478	507.1829660426783	447.1282568728522	439.0873655634564	345.684385502747	393.8701743859699	399.6491526441466
Gpkow_ENSMUST00000049896_7697056_7697074	ENSMUST00000049896_Gpkow	149.09935395273806	192.2674107331788	146.14862188372538	153.69180789172069	185.9903253378671	253.52710296661488	139.98789164987275	154.55665070841857	132.03486417733447
Gpkow_ENSMUST00000049896_7697015_7697033	ENSMUST00000049896_Gpkow	507.80214752019486	458.79683725218854	492.6466790650081	450.09743739718203	547.6381801614975	541.5770454861305	397.10850896596554	490.59272353898024	498.01069575612064
Gpkow_ENSMUST00000049896_7696988_7697006	ENSMUST00000049896_Gpkow	2131.688589483712	2283.8113073861714	2009.301582984198	2274.638756797466	2186.7953403361344	2269.8767006032244	2007.4454122308282	2248.5499828869924	2073.5676656037763
Gpkow_ENSMUST00000049896_7696912_7696930	ENSMUST00000049896_Gpkow	534.8129000478648	624.6147629109618	558.4619524960897	645.505593145227	667.8743500768863	636.5148542566076	513.2889360495334	649.137932975358	577.7632982793428
Ccdc160_ENSMUST00000101588_52791116_52791134	ENSMUST00000101588_Ccdc160	1244.6554764750308	1226.8491922974267	1427.6107104536088	1438.1162024153864	1419.3504120480666	1379.8347433800018	1291.3168780763772	1220.4989707555117	1354.908102866741
Ccdc160_ENSMUST00000101588_52791106_52791124	ENSMUST00000101588_Ccdc160	453.780642464855	520.8513983882939	500.38965240984123	515.9653550650623	603.0595397318721	552.365432846412	658.9906191953194	600.2780885578579	527.2533166813021
Ccdc160_ENSMUST00000101588_52791071_52791089	ENSMUST00000101588_Ccdc160	301.4399982087965	285.85789638107536	266.1647087286389	288.7210391108753	383.25279160530187	356.01678288928895	265.6913045599626	334.0417934665821	334.0747905694973
Ccdc160_ENSMUST00000101588_52791050_52791068	ENSMUST00000101588_Ccdc160	1023.1673057481373	867.7465680179974	832.3696345695618	1139.5149756543292	1191.0895582243206	1060.49847751567	938.0141039124127	913.3799487026542	876.392487727408
