sgRNA	Gene	PlasmidLib	R1_Top	R1_Unsorted	R2_Top	R2_Unsorted	R3_Top	R3_Unsorted
Dnmt1_ENSMUST00000178110_20952965_20952983	ENSMUST00000178110_Dnmt1	1880.4446671337516	1962.1920835286135	1865.5129369318722	2110.7325224867213	2113.748922564671	1992.2716533524012	2201.8857609498477
4933400A11Rik_ENSMUST00000068894_169779604_169779586	ENSMUST00000068894_4933400A11Rik	641.7809748785136	594.5768897860229	537.872936807006	602.2558618308886	657.9468918179834	739.8631389456206	725.7612284695028
Ddx3x_ENSMUST00000123096_13287251_13287269	ENSMUST00000123096_Ddx3x	657.6274187026744	595.4603621334018	647.6089919206455	441.76237509802735	556.7970104609084	564.4049412751054	572.7670711968004
Gprasp2_ENSMUST00000148658_135840200_135840218	ENSMUST00000148658_Gprasp2	390.8789476626338	368.40796885701565	349.9915091124413	397.18085100556584	396.09159148237796	434.756026740242	443.6061746047703
Ppp1r3f_ENSMUST00000150787_7574368_7574386	ENSMUST00000150787_Ppp1r3f	454.2647229592771	345.4376878251634	384.90752664859934	399.6125705015183	317.62953398109545	377.7105043449021	354.4236507674161
Gabra3_ENSMUST00000114554_72656922_72656904	ENSMUST00000114554_Gabra3	689.320306350996	677.6232904396427	809.7190733385221	610.3615934840635	655.1109138360093	675.0386816781888	826.4759752168598
Med12_ENSMUST00000137664_101296067_101296085	ENSMUST00000137664_Med12	985.1205910686648	1188.2703072246668	1180.4939262224862	1199.6482846698725	1038.9132673964998	1037.1913162789074	1057.1204334169136
4933402E13Rik_ENSMUST00000178085_62283232_62283250	ENSMUST00000178085_4933402E13Rik	668.1917145854483	612.2463367336015	633.4763181560102	537.4100086054901	632.4230899802169	646.515920480519	643.4980383781503
AW822252_ENSMUST00000188573_53716964_53716946	ENSMUST00000188573_AW822252	1035.3009965118408	1114.9421023922152	1123.9632311639446	1217.480894306857	1067.2730472162405	1121.895273775018	1090.9482872862548
B630019K06Rik_ENSMUST00000064196_8892265_8892247	ENSMUST00000064196_B630019K06Rik	1397.1281304968463	1471.8649307333048	1460.6534002626113	1869.9922923874294	1862.2922081629704	1673.3353235966372	1562.2317968750315
Arxes1_ENSMUST00000057625_136032907_136032925	ENSMUST00000057625_Arxes1	673.4738625268352	796.0085849884199	714.1156919895179	696.2823490077164	732.6276453433005	679.3603121626843	748.0568594288413
